position,text_of_post
non-toxic,"Another fine upstanding citizen..let's just execute this pile of crap, he has no benefit to society."
non-toxic,What an utter buffoon.
non-toxic,"Joe, Joe, Joe...yah gottah STOP 'liking' your own posts. Is that the third or the fourth time TODAY?! It makes you look stupid - and although I realize it's the ONLY way you are going to get ANY 'likes'. But still...you don't want to look THAT stupid do you? Well...never mind."
non-toxic,"The jackasses at Anchorage Daily News have cooked up a new censorship scheme for their comments sections...you now have to rate other people's comments as 'civil' or 'not civil.' The idea is that they won't have to waste their time censoring you, they'll get everyone else to do it for them. For you to post, you have to rate other people's comments. For your post to get through, they have to rate yours.

HOW FUCKING NAZI IS THIS?!!

They're too lazy to censor you themselves. But they have to make sure YOU get censored, so they dump that job on other commenters.

FUCK YOU ADN."
toxic,Idiot Broncos get into politics.. something athletes have no idea... then they go out and get beat.. how stupid..
toxic,"I don't think it ""sucks"" or find it hard to navigate.  I like that they found a comment system that didn't require Facebook to leave a comment too."
non-toxic,"it seams the paid liberal trolls here have failed to notice that this is yet more stupidity that will drive up costs for everyone while not being proved to be causing any harm to temps never mind that no one in the history of the world has or can predict 85 years into the future, but feel free to make this about us who stand up against scam nonsense based on bs and lies all for more left wing power and money from society, to bad your educations failed you so bad you are easily brain washed stupid to be happy to line up and bend over for this nonsense"
toxic,Hmmm . . . isn't playing hardball equivalent to being stupid in this negotiation?
toxic,"Another stupid, revisionist comment from the Tween Surfer Wannabe extolling the virtues of White Supremacy, One Religion Puritans, with human rights only for the pale-skinned, saintly gun-packers in the fenced fortresses and bunkers removed from all of those ""other"" humans.  These Redoubters move into areas where no one else had any previous need to pack guns in daily life or shut out their neighbors.  Now they have to pack guns to protect themselves from these horrid invaders.  These clowns set up their own enclaves divorced from the native folk as reflected in the article."
non-toxic,"Other than to note your pathetic and calculated lies about what actually happened there is really nothing new to say. Wall, meet Comrade Larry; Comrade Larry meet wall. You two will be very unhappy together but it's your choice. ."
toxic,Useless idiot has been in office for 19 weeks and hasn't done a damn thing that has been positive. I pray everyday for some divine intervention because Congress is ruled by invertebrates.
toxic,It's hilarious that Trumpkin supports think he's gaining in the polls.    There's no digging stupid out of his political grave.  Whoot!  Whoot!
non-toxic,Gohmert? He is a Tea Party nut.
toxic,"Theres no defense of the Nazis but that didn't stop you from trying.
You're disgusting."
toxic,wow posting blogs as some fact sources is really the left desperation of stupid
toxic,Ah yes...first they came for...then they came for...I hope the next ones they come for are those that thinks it's cool using this stupid little ditty.
non-toxic,"Only a fool read Trump Tweets.
Unlike you, his enemies aren't fools..."
toxic,You are an imbecile OBS!
non-toxic,"Right on target Brett, but this has been business as usual in Hawaii for generations.  It amazes me that these folks are like cats in a sandbox, covering up their nasties  and they have absolutely no shame about it and come right back asking the Hawaii voter to support them or the bozo that appointed them.  Worst of all, the ""informed citizenry""  has little interest in demanding disclosure.  We just go to the polls and elect the same crooks year after year."
toxic,"indeed, if only the world was free from this social cancer known as liberalism, but alas there is no cure for intellectual bankruptcy anymore then there is a cure for stupidity."
non-toxic,Liberals are aids infested cockroaches
toxic,"the Bushes were just a fraction of the greatness Trump is bringing forward...Clintons are clearly criminals...those 'anti-Trumpers' will be lying ""I voted for Trump"" - watch."
toxic,47? He's starting young. Most of the crazy scumbags I know are my age.
toxic,Bob Corker just said Drumpf is unstable....yikes
toxic,man you keep living in the total stupidity of denial of the most corrupt party in our history the ontairo liberals
non-toxic,"Yes, yes, we're all sure that you know better than Mr. Haycox, distinguished professor emeritus at UAA.  What a knucklehead!  P.S. Would it kill you to use punctuation?"
non-toxic,".
""Donald Trump has chosen Rick Perry to be Energy Secretary""


Perry? Rick Perry?????!!!!!!!

Is this the same dimwit that 4 years ago at the Republican debate laid-out a three point agenda on how to ""improve""/streamline the federal government ""operations"" and then could NOT remember what the three points were?

THAT Rick Perry? Oh boy, the next four years will a HELL of a LOT of fun.............
."
non-toxic,"And he expects us to believe these billionaires are clamoring to rub shoulders with him because they want to have him explain how he plans to tax the crap out them?????

We have a complete idiot for a PM."
non-toxic,"In the year 2016, anyone who shoots a large animal for any reason other than for self defense, to ward off imminent starvation, or as a mercy is simply an a*****e."
toxic,"as far as some of these fools think, absolutely."
toxic,Some people just need to chill out. Why bring up something that happened years ago? Because of what's going on today you idiots want to dissect on what happened in the past? You idiots are reaching and I mean reaching for something that means nothing. If Janet was a white woman and her right breast was revealed nothing would change. The press would write up the same thing. There are some idiots that still need to evolve.
non-toxic,"Thanks alot Lisa, you freaking leftist rhino"
toxic,"Hey Parnell, the pussy grabbing stuff ... I do believe its FACTUAL."
toxic,WTF ronin did you lose a family member? Obviously no so STFUP. You sick ---- always wiping his --- and then you wonder why it's always damage control for you f------g idiots. Read the f------g article!
non-toxic,"Bucksaver, are you suggesting that sickly and stupid are better than healthy and educated? Or are you just joking him?"
toxic,Haven't you Hillary haters had enough? Sorry your blood lust wasn't satisfied by being able to watch her dragged through the Colosseum  and ripped apart by lions or burned to a stake. What a bunch of nasty misogynists! Pathetic!
toxic,"He knows a weak, incompetent leader when he sees one."
non-toxic,Only a fuckin nigger would do something like this.
toxic,Do you actually believe this Alex Jonesian garbage you always spew on these forums?
non-toxic,"remember lefties, dont try to engage with reality, it will just hurt your hate based ignorant heads"
non-toxic,"Look who's talking. Right wing nuts whined that their widdle feewings were hurted because they felt ""ignored"" so they voted for a nutjob who's ""just like them"" and talks ""just like them"" because... why? Are you all billionaires who've cheated hard working Americans out of their wages, who don't file income tax returns? Who lie pathologically, and are so thin-skinned and immature that you're an enduring embarrassment to the nation? Is that you?

Well, okay. You get what you'll pay, and pay, and pay for. You and your families and loved ones will pay. If the angry, old, narcissistic crazy, who has the self-control of a grease fire loses it with the Red Button, you'll pay for your vanity and selfishness with not only your lives, but the lives of millions of people. 

Do you feew important enough now? Is your ego finally satisfied? Are you ready to give a shite about someone besides yourselves or is it still all about you and your hurted feewings?"
toxic,"No, dumdum-you dont get it. The business does not get to decide who he serves and who he does not. If he makes cakes for one, he must make them for ALL"
non-toxic,"Seriously, loser? I was simply pointing out that you used ""udder"" when you should have used utter. My mom died of brain cancer - I took care of her for the last 3 months of her life. I'm guessing that's a malady you won't have to worry about. No brain - no brain cancer. You truly suck."
toxic,"Don't pay attention to this crap Donny. It's not like you took your family to Paris, or London, or Amsterdam or Italy for a vacation, as one or two legislators did, and billed the state for it. Folks won't call that ""entitlement."" They'll just smile along with the world travelers. Especially if they come from Anchorage."
toxic,You are a swine.
toxic,Leftarded snowflake I bet this dumb broad thinks Trump is Hitler.
toxic,"Fear is an emotion meant to ensure survival, as much as pain is a sensation meant to alert the body to damage so that it can be addressed and fixed, again to ensure survival. In Trumps case, it's sensible to fear. If you don't, you're stupid. So enjoy feeling fearlessness.  It won't be long before you feel pain that you cannot ignore or fix with a snide comment."
non-toxic,"What a ridiculous thing to say - pointless, really.

Perhaps not.  But apparently better than you."
toxic,"Fat elephants like you constantly flap their mouths but do nothing of substance except take shots at everyone.  Most people, like you, are  pure cowards but the minute something happens personally to you, all the rhetoric and righteous stances go out the door as you start crying and calling the police, who you despise, for help to save your sorry arse.  faux u coward!  LOL!!!"
toxic,Dumb!
toxic,"By too late for Bonhoeffer, I meant, of course, too late to save his life from the gang of criminals in power in Germany. He was internally liberated already though imprisoned by the gang for his Christian conscience and personal integrity. Another gang of criminals, this time in Russia, have been trying to extend the tentacles of their corrupt power west into Europe and even here. The GOP -- and stupid, blind Americans who back Trump -- are complicit. God help us."
toxic,"So, we would impede temporary visas for tens of thousands of technicians, scientists, and people with family in the US for one or two potential terrorists who couldn't pass vetting anyway? Good Grief! How stupid!"
toxic,THe farther to the left you go the dumber it gets.
toxic,"Not just uneducated, wilfully ignorant, which equates to stupid in my book.
Frankly, I don't care what happens to them. Hopefully survival of the fittest will kick in at some point and relieve the planet of the burden of these morons. I can't wait."
toxic,Scumbag.  Hope someone turns his a$$ in.
non-toxic,"You are still pretending that my using ""slander"" where the legal definition is of ""libel"" is meaningful, even though in non-legal situations, the terms are synonymous. And in at least one legal dictionary, slander can be written

YOU LIED ABOUT ME, and you refuse to apologize for doing so. Yet you continue to say ""we should act humbly"" and we should behave well towards others. Until you do apologize, you are showing yourself to be not only a liar, but a hypocrite as well. Do they teach dishonesty and hypocrisy in Opus Dei?"
toxic,"Want me to call the WHHHAAAAAMBULANCE for you? Toughen up, ya big sissy!"
toxic,"You are fake news, you are a troll.
You are not 907AK. You're an impostor."
toxic,An asshole!
non-toxic,"It's very interesting. Canadian personal debt is at all times highs. The debt is fueling the economic growth. But no one cares in ""good news"" Canada. 

Any economy can grow by piling on debt. The Canadian dollar is being pumped up by the squeeze on earlier short sellers, and the speculators' belief that interest rates will continue to rise. I don't know what will happen, and no one knows. But one thing I do know is what goes up quickly goes down quickly as well. Look out below when the bottom drops out, not if but when. The fundamentals can only be submerged for so long. 

There will be those who believe otherwise. That the Canadian economy is just wonderful. But as another writer has pointed out, the Canadian stock market has gone nowhere one/ten years. Policy makers in Ottawa are so busy slapping themselves on the back that they have no time to point out this anomaly. Those invested in the stock market have made nothing. Canada. Are these guys all stupid? It speaks volumes."
non-toxic,"True but the president is supposed to lead, not follow.  What a failed presidency.  No leadership whatsoever.  Even GW was better than this clown."
toxic,"His real problems are his smug sanctimony, arrogance, hypocrisy, and intellectual vapidity
--------
you are being too kind

narcissism, shallowness, 
pretending to work hard by always rolling up his shirt sleeves
going to movies with sick kids, to Pride Parades,
traveling the world
anything to get ""out of the office"""
non-toxic,The governor & his AG are dirty traitor rats. Lt dirty traitor rat. Move to Iran to be with your friends when the end comes.
non-toxic,"He has done absolutely nothing, there is a huge difference between signing executive orders (which his 10 year old could do) and actually getting the jobs done. He is all smoke and mirrors and when you look into that mirror you see an ego filled old man with a bad comb over, orange makeup and dyed hair trying to be young and impressive but is really an antique fool in a good suit and a long tie."
toxic,"The noose is slowly tightening around Trump's neck as the best defense that his supporters seem to be able to come up with is that because he's a ""new guy"" and he's stupid."
non-toxic,"“you are a lot like the idiot in chief..”

Heartfelt thanks.

“your words are much more intelligent than the dummy.”

It won’t do you even a smidgeon of good by trying to kiss up to me at this late date. 

Perhaps you need to seek out an instructor who can teach you how, when and how not to curry favor with your superiors. If so, a lot of heavy lifting awaits that person."
toxic,"It figures that Chuck Plunkett would put this poorly written and thought out, hyper-partisan, media talking points, divisive drivel by someone on the public dole on his Op-Ed page. Classic TDS. Sanctimony is an emotionally addictive fix to hypocrites."
non-toxic,"Does the Globe and Mail realize how Trump obsessed it has become?  Almost every article on it's front page are Trump related.  Doing the 24\7 never ending coverage on Canadians is about as meaningful as talking to the wall.  WE can't vote on any of it, there is nothing we can do and the election is even over.

We have our own idiot ruining our country.  Can we turn back our focus on things that we have control over?"
non-toxic,Half ass law: The perpetual idiots aka FLAT TIRES strike again. Passing a law that only addresses half the problem. Talking should NOT be allowed when crossing the street. The flat tires will need to wait to amend the law later after a couple of people get killed while on their phones crossing the street.
toxic,how about capital for the buyers. they are as stupid as this jerk
toxic,"These special snowflakes only have a few requirements to allow anyone to speak:

1. you are a complete idiot
2. You are completely illiterate in science and math
3. you pretend that you are educated with your gender studies degree
4. you are a complete idiot."
toxic,Because crap happens. When did every little whiny adult expect the world to be perfect. Crap happens. Adapt and be an adult. Whiny pu$$ies all the time.
toxic,"The US Air Force is awesome!

Trump is an idiot."
non-toxic,"Again.. guy can't think of anything to counter an argument so he trots out the ""Russian troll"" meme.
and I am born Canadian and lived in Canada all my 40+ years before your next silly russian imposter accusation"
toxic,"Victimitis: Wow, you're a pretty callous idiot, aren't you? A guy shares some terrible things that happened to him, and you think it's funny and make flippant comments?"
toxic,"I agree,  Pay it out, But all of it. Because if Gov't want's gets it, it will soon be sucked dry, then what else will they pillage?  We must destroy the idea of budgeting on a commodity. and live within our means. GOV'T needs to do what it's citizens do. We also need to stop adding Fed Money to the top of our own budget. It's dangerous and simply moronic."
toxic,"I just wanted to say that the Jesus comment, holy crap.

Jesus said to love and care for everyone even your enemies. 

Rep. Roger Marshall, R-Kan needs to go back and study Jesus more before he opens his big dumb mouth."
toxic,"again you post the stupidity and ignorance of the day with that drivel,, get educated idiot"
non-toxic,"Boy, that's for sure. Facebook had very poor security early when it first hit the street. Not convinced that it ever improved that security I decided putting my personal life on the world wide web was pretty stupid using this platform. Imagine all your personal data coupled with your financial data combined for sale on the dark web."
non-toxic,"Trump's election is proof only that a substantial number of Americans are self-serving, gullible fools.  They elected a proven pathological liar and a traitor driven by unbridled greed and ego."
non-toxic,"No, we don't know anything about basketball.  At least we are not nearly as knowledgeable as that hellhole you come from.  Why would you make such a stupid comment?"
toxic,You voted for Johnson. That says it all. The idiot that didn't know what was Allepo.
toxic,"Our nation is $20 TRILLION in debt, and the GOP that wants a balanced budget amendment, that has lectured from the rooftops for decades on the evils of deficit spending...is now hell bent on cutting taxes in a strong economy, unheard of, and run up the deficit all the more....The modern GOP has managed to prove liberals do not have a monopoly on stupidity."
toxic,"They won.

Just win, baby.  And you can be anything you want, including being ""stupid""."
toxic,"Nothing wrong with hillary, with Mr. Trump beating her ass she is just looking for the sympathy vote."
toxic,"I have been sick of seeing Trump on the news. If this Canadian jerk appears too often on G&M, I will have to cancel my subscription. Period."
non-toxic,Yeah if he is going to fix a bunch of no nonsense words then lets start that list. That should keep him busy until the end of his term and beyond. I guess he really wants to go out as a true dumb ass
toxic,You hit it right on the nail.  Idiot vs Idiot!
toxic,"I think you're right...Donald is too stupid to resign, he'll be section 25'd out of office."
toxic,"@ Anne M. Erskine
When Your Grandkids, Kids All DIE Because Of CLIMATE CHANGE.... I Hope They Read Your Comment.!!!! Knowing There Grandmother Was So STUPID.!!!!!"
toxic,Lawrence Martin's basic argument is that anyone who does not agree with him is stupid.
toxic,Jason Kenney is a disgusting individual.
toxic,sanity finally in the usa after 8 years of stupdity
non-toxic,Kill the unbeliever!
non-toxic,"Epigenetics and the link to homosexuality in males has current support.  New theories are always great but I am now sure how you would test or model it, but if you do I am all for it.  All the evidence helps end the stupidity of gays being disordered."
non-toxic,Die SABC die.
toxic,"Understatement of the year.  The Browns should be thankful that they are too stupid to file in time to make a deadline.  They were offering a 2 and 3 for McCarron.  Apparently they forgot that they are 0-8 for the year and have no hope, so trading for McCarron for this year made no sense.  They are going to be in position to grab one of the top QBs in the draft instead.  They can get a QB in the first then use that 2 and 3 for weapons, protection or defense."
non-toxic,"It is not so much that the ""so called"" President is incompetent, which he is, it is mainly because basically he is devoid of intellect, mental discipline, and is unlikely to learn...two year olds learn.....this man stumbles through life being a bully, and it worked when he had access to his daddy's money to save his ""success""...and no one but his kids to answer to.....now he is in the room with ""adults"" who are not intimidated by his nonsense...and he will be outmanoeuvred every time he acts like a child..which is almost always."
non-toxic,funny how a liberal troll like you hates as usual anything military!
toxic,"The headless chickens at Denver Post surely know more about the law than a literal Supreme Court justice... 

This is just more nonsense from, as the DP puts it, ""Trump opponents."""
non-toxic,It's hard to perceive a joke from an idiot who has no sense of humor.
toxic,"Such BS. TRUMP IS NOT THE ""Target"" OF THE INVESTIGATION. TRUMP DID NOT OBS JUSTICE, AND COMEY WAS FIRED BASED ON THE RECOMMENDATION OF SESSIONS. STOP PRINTINTING THIS SHIT ALREADY!"
toxic,Spoken like true fascist.
non-toxic,the mayor is a fag and loves little boys.
toxic,"Perhaps we need a referendum take classify ""stupid"" as a protected class. Isn't that what all the chatter really amounts to?

Thoughts?"
non-toxic,"CivilBot
Says:
Greetings! I've detected some questionable ""civil/uncivil"" votes from your account when reviewing the comments of others. Trustworthy ""civil/uncivil"" ratings are important for our community; accounts with patterns of unfair voting will be restricted.
----------------------------------------------------------------------------------------------------------
Just what are you inferring with such generalities as posted above?
Give me some examples, please...
Anybody else getting this crap?"
toxic,"He's a convicted felon, sex offender and admitted murderer.  His life has absolutely no value as a contributor to society.  Stupid or not he should be publicly hanged in the Wayne Morse free speech square."
toxic,LIBS have to stop the bleeding cold or not. They look like fools.
toxic,"well flounder, you sure didn't like ""fat, drunk and stupid..."" .."
non-toxic,"So as suspected, the McKinsey contract was more scam than  anything else. I wonder what their profit on the 1.03 Billion actually was. Probably not much less than that figure. And then Eskom wants a tariff hike so that we can pay for the idiocy and theft."
toxic,"""I do care that my friends have been killed by morons with guns.""--So if your friends were splattered all over the road by a drunk driver, you'd suddenly care about booze?  Apparently your activism is strictly limited to a narcissistic interpretation of public safety and Constitutional rights; ""If it doesn't inconvenience me, it doesn't matter."""
toxic,Idiot.
toxic,She is too stupid about issues to understand. You are wasting your comments
non-toxic,We need a mock and ridicule emoji for your statements.
toxic,"Trump is such an ignorant weak buffoon.

Every day we get confirmation that his ignorance is more complete than anyone thought possible.

Most ignorant ever."
toxic,"Exactly. Micciche is the perfect example of why Alaska needs conflict laws with teeth. He doesn't work for Alaska, he works Big Oil and himself. 
But, you know Alaskans keep voting him and others like him into office.  
You really can't fix stupid."
toxic,"Show me factually, that you are correct.  You can't, because you just made a bunch of crap up.   I challenge you, crazy pants, to prove me wrong."
non-toxic,"its a pitty ignorant sheep like you are so disrespectfull of free choice and economics to let people decide by thier spending choices what stays and goes, but of course being a fascist liberal you like the idea of raping my pocket for more so you lunatics can feed your friends pockets even though no one wants to watch them"
non-toxic,"Trump has zero respect for the law. What a loser. He's sickening. 
I cannot believe anyone voted for that corrupt fool. Shameful. 
He has to go, the sooner the better. 
Waiting for the GOP to grow a spine. 
Pathetic."
non-toxic,"<<a man who tweets whatever pops into his mind after watching Fox all morning>>
The talking points assigned to Trump's Team of Liars has been to deny that the Executive Order excluding immigrants from specific countries is a ""travel ban.""  And over and over again, they go out to various venues to insist that it is not a travel ban.  And yet the Idiot-in-Chief, the bigot for whom they work, continues to insist that it is a travel ban. This morning's tweet storm is reported here: http://www.cnn.com/2017/06/05/politics/trump-travel-ban-courts/index.html"
non-toxic,Molesting children is NOT approved of in the Bible nor in our own society. In fact in the old days we all know what they would have done to a man who molested a child.
non-toxic,"Susie, you pathetic moron, show us proof that you and your uneducated rural ilk are ""paying for their, and all other illegal aliens healthcare, food, education, etc...""

You can't, because ""illegals"" are a net positive in US society. Check out the AFB American Farm Bureau data sometime. And get an education, you poor, pathetic kook. You're an ugly person inside and out (and probably claim to be Christian as well, what a laugh)."
non-toxic,"aa the usual left wing bs,, no one is supporting or asking for a zero an hour min wage, you lunatic, the free market will decide that because industries pay what they can and still make a profit. you see ignorant lefty,  no profit means the close the doors and all are out of work but thats ok with you lunatics in the end"
non-toxic,"Cleanup Eugene - All you do is troll Eugene/Springfield crime news reports & make comments. You trolled me over the death of my father. You seem to have something to say about every crime committed/reported in Lane County/Register Guard and that says more about you than it does the individuals in the headlines. Not really ""headlines"" since it's useless small town news, but we've already established you're pathetic. Get a life, dude."
non-toxic,I don't know how Brown can complain about gun violence and  push for these bills while she also wants to cut mental health support like the hospital in Junction City. It's incredibly hypocritical.
non-toxic,"Even a ""tiny-minded, hypocritical idiot"" knows that Trump made a pittance of his fortune this way.  He made his money in real estate."
non-toxic,Your 2nd most stupid comment but I am sure you will do better.
toxic,"Right wing nuts are stupid. Proven fact. Liberals, in the other hand, aren't. 
I guess that makes them a little harder to fool and control, eh, Herr Fuhrer?"
toxic,"At least he didn't say something truly vile like ""I want to grab her pussy"". President Trump!!!!"
toxic,There's a sucker born every minute...
toxic,"Thank you Secretary Mnuchin!
Do not let the hypocrites win."
non-toxic,The screwing you get for the screwing you got.
toxic,too many stupid humans on the planet time to cull the herd.
toxic,"No they won't 40 mayors across BC oppose the stupid, reckless and dangerous crude export."
toxic,"Morrissey may be a bit of a jerk,  but he had the nads to say what needs to be said!"
non-toxic,"Trump doesn't want to be a dictator...he is a dictator.  He has a legislative branch with his own party holding a majority; that does not want to ever reign in this person's megalomania.  He foments the innate fears of middle America - racism, economic and social prejudices, and lays blame at the steps of anyone who speaks out or stands against him.  For those saying that its refreshing that he is saying what's on his mind, that's like saying Hitler was great because he made it clear exactly what his final solution was to the ""Jewish Problem"".  The sad part?  Someone like Trump from his social background, has little love for the average white male that espouses Trump's platform and racially charged diatribes."
non-toxic,"Well gosh darn it!  I worried about the unknown costs, unknown fare price, unknown power source and costs, reasons why this project was ""sold to us"" as $5 Billion versus the actual cost probably 3 times that, and a potentially perpetual rail tax that won't be enough for the O & M.

After reading your article I feel much better.........and know that everything's under control."
non-toxic,"NO it is NOT STUPID! WHAT IS STUPID IS our damn dependence on oil coal!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
its damn time to BREAK free from fossil fuels!!!!!!!!!!!!!!!"
non-toxic,My first thought was to fry all the people involved. But now I think they should be kept alive so they enjoy getting beat up and raped on a regular basis why they serve life prison sentences.
toxic,Damn that Obama!
non-toxic,no...dumb old chump is a bull in china shop.  pigheaded narcissistic  obtuseness should not be mistaken for courage.
non-toxic,"ibbitson in clearly a lib trolling hack now, the senate is a joke it just caved to justin rather than stand its ground, what a useless bunch of paid losers"
non-toxic,This is why people have shotguns ready for losers who are stupid enough to try these stunts. A better ending would have been if the victim had blown the perps heads off.
non-toxic,"With friends like this, who needs enemies?  I would never consider mcconnell reasonable, but in comparison to trump....  The ignorant buffoon currently occupying the white house doesn't even understand the complexities of health care, as he so clearly stated.  In fact, he understands very little of what a potus should know.  Sad and pathetic!"
toxic,And countless idiots not wearing their seatbelts.
non-toxic,"if by better things to do you mean, continue to be ignorant of any given issue your posting on...I believe that. PR has been widely reported on for decades now. I am not surprised your imaginary 125 IQ could not manage a simple google search on the subject. and thank you for moving on and stop wasting my time with your babbling ridiculous nonsense."
toxic,"Here are your ""cites""; Donald Trump is president.

Apparently watching the events unfold in real time in full color isn't enough proof for you and your ilk so the remaining sane people in this country just ""cited"" their evidence. 

please go back to that moist dark rock you live under.

D or R, if what she did and said after Benghazi doesn't incense you there is something fundamentally wrong with you. ...and if it had happened under GWB your opinion would be 180 from what it is. that makes you a super hypocrite."
non-toxic,"I swear Joe has 2 left feet. He gets in his own way. It's always such stupid BS with this guy. Like the BS with the state computers, petty, stupid crap."
toxic,"Eligible Americans appear to enjoy Medicaid, Medicare, Social Security, Unemployment Benefits, Workers' Comp., Corbel; and so will you when and if you live long enough to enjoy the first three federal bennies.  Stop being a hypocrite."
non-toxic,Pruitt shouldn't be allowed to meet with other Environmental Administrators. Those that have the job in other countries actually CARE about the environment. Pruitt is doing everything in his power to trash ours. Favoring polluters over citizens. He is an embarrassment and a danger to our health.
non-toxic,"That's silly. very little of modern life, which is regulated by the constitution was directly addressed by that document. What you are claiming is that religion takes precedence over any other consideration. Sort of a Christian Sharia, amirite? 

So if Jews are considered as Christ killers, is it o.k. to discriminate against them? If a muslim decides to discriminate against women, it that o.k.?"
non-toxic,"Perhaps you can clarify where I mentioned that the school should make them read those books. Seriously, who argues against hoping kids read great literature? 

Buy yeah, I think kids reading the bible is silly."
non-toxic,"It means the racists in da village dont want white trash hunting "" their"" caribou."
toxic,"So, no Jewish immigrants? No Seventh-Day Adventists, or other fundamentalist Christian sects who prohibit pork? No vegetarians regardless of origin?

So much ignorance and bigotry. Pathetic."
non-toxic,The DOW is up because trump appointed the top dogs from Goldman Sachs to run the financial offices of his administration. Seems like only yesterday that Clinton was being hammered for giving speeches to Goldman Sachs conventions but now you and your fellow travelers are mute about the buffoon filling his cabinet with the very billionaires and lobbyists he said he would rid DC of. What's up with that hypocrisy deplorable?
toxic,"Well, GW Bush has been mocked for being rather stupid.  Perhaps its true considering that he hired Michael Gerson."
toxic,"Try thinking before you type, it makes you appear less foolish."
non-toxic,"Check Wayne Easter MP tweets against White House, Jeepers? Can the  Trudeau ""Team"" be any more laden with morons?"
non-toxic,"you are nuts! there are plenty of unemployed skilled poeple with no work to go to,  in 10 of 15 years if things turn around great bring them in , such in the mean time NO! , the economy and jobs have been decimated by the scams of ontaro liberals for one thing! Carbon taxes hurt everyone and for no dam good reason. it is not necessary, get educated. , the activist say so not scientist. the usa now with the gop and trump will ignore them completely over this nonsense while we push ahead and make ourselves less competitive and hurt our consumers. in 4 years the usa will be soaring and enough people will wake up to the complete disaster of a direction the likes of wynne and trudeau are taking us. as for your arrogant finish, with the enjoy comment, yet proving again why the left are corrupt arrogant trash"
toxic,"Be careful what you wish for, Garrison. You are a fool."
non-toxic,Shooting at others is not speech. Trying to compare shooting at people to speach is beyond stupid.
toxic,"By heavens they are stupid and proud of it! Wait for the inevitable ""Poor us, we've been victimized by those godless liberals."" whining when they lose."
toxic,"I don't care who it demeans, Trump is nuts."
toxic,a smart phone in every students hand and free wifi. nothing else is needed except teachers that can teach kids how to use the apps available for free. my granddaughter goes to one of the best private fourth grades in hawaii and she is not allowed to have her phone on much less use it for class. ignorant adults = ignorant kids.
toxic,"he sounds like a moron...and to solidify  that impression, he talks about toradol like it is cocaine...it's not, dude!..it is a step up from advil or motrin, not some 'orgasmic' illegal drug!
once a douchebag, always a douchebag..."
toxic,"Alaska wilderness - 1
Idiot - 0"
toxic,"According to the Harbor Master in a CNN interview, the dock has multiple signs warning visitors to not feed the migrating sea lions and that they are wild animals and should be treated as such. He also commented, 'You can't legislate stupid.'"
non-toxic,Gay folk don't define themselves by sexual acts any more than heterosexuals to. It is the sodomy-obsessed gay-haters who try to impose such a definition.
non-toxic,Go and enjoy Sidney.  Don't listen to all the bs.   The world has gone absolutely mad.  Ignore it.
toxic,some clown using the pseudonym jangm gives you a like on a comment calling someone out for hiding behind a pseudonym?
toxic,Brent. I think teachers are some of the most overrated and overpaid individuals on the face of this earth. You pass your liberal lifestyles onto a mindless group of rug rats who have not yet learned that the liberal lifestyle is destroying our country. You are only there to spread your liberal beliefs. This is something the liberal Democrats have pushed for years. Indoctrinate the young while they are ignorant. Promise them that the government is their true parent and will take care of them for the rest of their lives. Womb to the tomb coverage.
non-toxic,Kick her in the stomach Angela! Then punch her in the face. Try to do as much physical damage as you can to the girl. Yeaaaaaa! Smash her nose...
toxic,"Don't forget Trump Chumps are proven idiots. For example, assuming a convicted felon like say, Nelson Mandela or Ghanaian did poor quality work and made questionable arguments. 

Of course, Trump Chumps have nothing to recommend them, so it's important to them to find anything, something, no matter how small or irrelevant, with which to bully someone. 

You can't fix stupid."
toxic,"Yes, this is the problem. Guys finding liquid courage to do stupid things."
non-toxic,"You are a delusional fool.  Not even an entertaining one.  Your are uninformed, paranoid and incapable of original thought.  In other words, a typical Trump supporter.  But come November, you lose."
toxic,"What idiots, both of them.
1. You don't ride a motor scooter on the sidewalk.
2. You don't flash fire arms.
3. You don't lay down in front of a moving motor vehicle, anywhere. That's just dumb, and then grab a loaded gun. Guttzie but dumb."
toxic,There's a third option: they're just plain stupid. I believe that covers about 90% of those types of postings.
non-toxic,And marijuana is illegal under federal law. Now what? Somewhere masturbation is probably illegal. Now what?
toxic,"So great. You heard it from the horse's mouth, people. At least when this next 4 seasons of racist, bigoted reality TV is over, nobody on the right will be able to point fingers. Oh wait, yeah, they'll still point fingers while regurgitating fake news stories and belittling people. This country is full of idiots. At least half full anyway...."
toxic,Paulie.... is that supposed to be an attempt at cuteness or just stupidity.
toxic,"Ah, the conservative right-wing politically disingenuous ploy, don't like the messenger, so shoot the messenger."
non-toxic,"Why thank you for your vey civil remark.  I agree that I was a tool for spending the majority of my adult life defending your right to call me a tool.  Now the real question is.,..would you call me that to my face?  Nope,  because you are nothing but a troll and a coward"
toxic,"Botanist.  Why do the idiots always bring politics and presidential candidates into the conversations?   
Let's see,  I'll answer my own question.     
Answer:   gullibility, stupidity, and living vicariously through the internet."
non-toxic,"Here are ten misused words that make a stupid person look even more stupid:

""My sorrow is deep, Cuba's larger than life leader died"".

Are you reading this, Justin?"
non-toxic,Find them and cut their arms off. No mercy.
